"date","Mkt.RF","SMB","HML","RF","betaf","Sentiment","disbeta","BW","PLS"
"2004-01-01",0.0215,0.0263,0.0166,7e-04,0.9849198,1.95069952,5.542634,-0.463,-0.528
"2004-02-01",0.014,-0.0119,0.0044,6e-04,1.0053773,2.18075913,6.406073,-0.351,-0.542
"2004-03-01",-0.0132,0.019,-5e-04,9e-04,1.1799617,0.99853992,8.117807,-0.378,-0.618
"2004-04-01",-0.0183,-0.0257,-0.0167,8e-04,0.8539305,2.11194607,4.472755,-0.275,-0.616
"2004-05-01",0.0117,-0.0019,-0.0026,6e-04,0.8098348,1.11030443,3.896663,-0.253,-0.575
"2004-06-01",0.0186,0.0234,0.0163,8e-04,0.9568755,1.61307162,4.923113,-0.188,-0.517
"2004-07-01",-0.0406,-0.0377,0.0456,0.001,1.050248,1.53659768,5.145621,-0.011,-0.531
"2004-08-01",8e-04,-0.0157,0.0124,0.0011,0.8961376,0.24972305,3.924907,0.079,-0.514
"2004-09-01",0.016,0.0293,0.0047,0.0011,0.8703633,1.26067007,4.166034,0.042,-0.499
"2004-10-01",0.0143,0.0039,-0.0082,0.0011,0.921224,2.06794295,5.478955,0.026,-0.44
"2004-11-01",0.0454,0.0413,0.0194,0.0015,0.9945717,0.82986821,4.933102,-0.006,-0.558
"2004-12-01",0.0343,0.0019,-0.0037,0.0016,0.9779213,5.59198624,5.384413,-0.022,-0.671
"2005-01-01",-0.0276,-0.0155,0.0273,0.0016,0.764755,4.6215193,3.903693,0.05,-0.628
"2005-02-01",0.0189,-0.0068,0.0284,0.0016,0.7863739,3.37238248,4.444458,0.016,-0.588
"2005-03-01",-0.0197,-0.0136,0.017,0.0021,0.7841892,3.04367959,4.601572,-0.015,-0.631
"2005-04-01",-0.0261,-0.0397,-0.0045,0.0021,0.8168557,3.66988289,5.557167,0.029,-0.613
"2005-05-01",0.0365,0.0297,-0.0121,0.0024,0.8007134,1.86670481,5.078543,0.023,-0.616
"2005-06-01",0.0057,0.0259,0.0279,0.0023,0.7259791,4.17174986,4.615842,-0.018,-0.635
"2005-07-01",0.0392,0.0277,-0.0047,0.0024,0.7376489,2.79281411,4.188813,-0.181,-0.838
"2005-08-01",-0.0122,-0.0085,0.0147,0.003,0.8053117,2.76311298,4.024948,-0.165,-1.009
"2005-09-01",0.0049,-0.0068,0.0111,0.0029,0.814171,2.8907521,4.649204,-0.13,-0.951
"2005-10-01",-0.0202,-0.01,-0.0067,0.0027,0.8035107,1.67189652,5.358764,-0.106,-1.014
"2005-11-01",0.0361,0.0096,-0.0185,0.0031,0.7601206,2.53862197,4.57617,-0.055,-0.945
